Epoch: 1        Training Loss: 2.299405
Epoch: 2        Training Loss: 1.538855
Epoch: 3        Training Loss: 0.403314
Epoch: 4        Training Loss: 0.329937
Epoch: 5        Training Loss: 0.306231
Epoch: 6        Training Loss: 0.292967
Epoch: 7        Training Loss: 0.219374
Epoch: 8        Training Loss: 0.061334
Epoch: 9        Training Loss: 0.053475
Epoch: 10       Training Loss: 0.047661
Epoch: 11       Training Loss: 0.043098
Epoch: 12       Training Loss: 0.039068
Epoch: 13       Training Loss: 0.035588
Epoch: 14       Training Loss: 0.032606
Epoch: 15       Training Loss: 0.029876
Epoch: 16       Training Loss: 0.027587
Epoch: 17       Training Loss: 0.025323
Epoch: 18       Training Loss: 0.023318
Epoch: 19       Training Loss: 0.021304
Epoch: 20       Training Loss: 0.019450
Epoch: 21       Training Loss: 0.017844
Epoch: 22       Training Loss: 0.016413
Epoch: 23       Training Loss: 0.015042
Epoch: 24       Training Loss: 0.013960
Epoch: 25       Training Loss: 0.012707
Epoch: 26       Training Loss: 0.011672
Epoch: 27       Training Loss: 0.010711
Epoch: 28       Training Loss: 0.009843
Epoch: 29       Training Loss: 0.009172
Epoch: 30       Training Loss: 0.008600
Epoch: 31       Training Loss: 0.007978
Epoch: 32       Training Loss: 0.007406
Epoch: 33       Training Loss: 0.006418
Epoch: 34       Training Loss: 0.006286
Epoch: 35       Training Loss: 0.006461
Epoch: 36       Training Loss: 0.008014
Epoch: 37       Training Loss: 0.007374
Epoch: 38       Training Loss: 0.006379
Epoch: 39       Training Loss: 0.005649
Epoch: 40       Training Loss: 0.005192
Epoch: 41       Training Loss: 0.003825
Epoch: 42       Training Loss: 0.003825
Epoch: 43       Training Loss: 0.003795
Epoch: 44       Training Loss: 0.003669
Epoch: 45       Training Loss: 0.004214
Epoch: 46       Training Loss: 0.004504
Epoch: 47       Training Loss: 0.003167
Epoch: 48       Training Loss: 0.002338
Epoch: 49       Training Loss: 0.002148
Epoch: 50       Training Loss: 0.001500
Epoch: 51       Training Loss: 0.001582
Epoch: 52       Training Loss: 0.001104
Epoch: 53       Training Loss: 0.001124
Epoch: 54       Training Loss: 0.000945
Epoch: 55       Training Loss: 0.000798
Epoch: 56       Training Loss: 0.000706
Epoch: 57       Training Loss: 0.000645
Epoch: 58       Training Loss: 0.000599
Epoch: 59       Training Loss: 0.000563
Epoch: 60       Training Loss: 0.000534
Epoch: 61       Training Loss: 0.000508
Epoch: 62       Training Loss: 0.000486
Epoch: 63       Training Loss: 0.000464
Epoch: 64       Training Loss: 0.000446
Epoch: 65       Training Loss: 0.000428
Epoch: 66       Training Loss: 0.000416
Epoch: 67       Training Loss: 0.000402
Epoch: 68       Training Loss: 0.000387
Epoch: 69       Training Loss: 0.000377
Epoch: 70       Training Loss: 0.000367
Epoch: 71       Training Loss: 0.000355
Epoch: 72       Training Loss: 0.000347
Epoch: 73       Training Loss: 0.000338
Epoch: 74       Training Loss: 0.000333
Epoch: 75       Training Loss: 0.000326
Epoch: 76       Training Loss: 0.000318
Epoch: 77       Training Loss: 0.000311
Epoch: 78       Training Loss: 0.000307
Epoch: 79       Training Loss: 0.000301
Epoch: 80       Training Loss: 0.000297
Epoch: 81       Training Loss: 0.000291
Epoch: 82       Training Loss: 0.000286
Epoch: 83       Training Loss: 0.000284
Epoch: 84       Training Loss: 0.000282
Epoch: 85       Training Loss: 0.000279
Epoch: 86       Training Loss: 0.000273
Epoch: 87       Training Loss: 0.000268
Epoch: 88       Training Loss: 0.000265
Epoch: 89       Training Loss: 0.000263
Epoch: 90       Training Loss: 0.000260
Epoch: 91       Training Loss: 0.000257
Epoch: 92       Training Loss: 0.000255
Epoch: 93       Training Loss: 0.000251
Epoch: 94       Training Loss: 0.000250
Epoch: 95       Training Loss: 0.000248
Epoch: 96       Training Loss: 0.000246
Epoch: 97       Training Loss: 0.000243
Epoch: 98       Training Loss: 0.000240
Epoch: 99       Training Loss: 0.000238
Epoch: 100      Training Loss: 0.000238
Test Loss: 0.059046

Test Accuracy of     0: 99% (977/980)
Test Accuracy of     1: 99% (1127/1135)
Test Accuracy of     2: 99% (1024/1032)
Test Accuracy of     3: 99% (1006/1010)
Test Accuracy of     4: 99% (974/982)
Test Accuracy of     5: 98% (883/892)
Test Accuracy of     6: 98% (946/958)
Test Accuracy of     7: 98% (1015/1028)
Test Accuracy of     8: 98% (962/974)
Test Accuracy of     9: 97% (987/1009)

Test Accuracy (Overall): 99% (9901/10000)
