❯ python3 train_CNN_network_save.py
/Users/charliecheng-jieji/miniconda3/lib/python3.8/site-packages/torchvision/io/image.py:11: UserWarning: Failed to load image Python extension: 
  warn(f"Failed to load image Python extension: {e}")
LeNet(
  (conv1): Conv2d(1, 6, kernel_size=(5, 5), stride=(1, 1))
  (conv2): Conv2d(6, 16, kernel_size=(5, 5), stride=(1, 1))
  (fc1): Linear(in_features=256, out_features=120, bias=True)
  (fc2): Linear(in_features=120, out_features=84, bias=True)
  (fc3): Linear(in_features=84, out_features=10, bias=True)
)
Epoch: 1        Training Loss: 1.868924
Epoch: 2        Training Loss: 0.891134
Epoch: 3        Training Loss: 0.822292
Epoch: 4        Training Loss: 0.636083
Epoch: 5        Training Loss: 0.561164
Epoch: 6        Training Loss: 0.363133
Epoch: 7        Training Loss: 0.322196
Epoch: 8        Training Loss: 0.312368
Epoch: 9        Training Loss: 0.305485
Epoch: 10       Training Loss: 0.300332
Epoch: 11       Training Loss: 0.296152
Epoch: 12       Training Loss: 0.292423
Epoch: 13       Training Loss: 0.287964
Epoch: 14       Training Loss: 0.031808
Epoch: 15       Training Loss: 0.027587
Epoch: 16       Training Loss: 0.024548
Epoch: 17       Training Loss: 0.022048
Epoch: 18       Training Loss: 0.019888
Epoch: 19       Training Loss: 0.018060
Epoch: 20       Training Loss: 0.016355
Epoch: 21       Training Loss: 0.014938
Epoch: 22       Training Loss: 0.013694
Epoch: 23       Training Loss: 0.012366
Epoch: 24       Training Loss: 0.011366
Epoch: 25       Training Loss: 0.010285
Epoch: 26       Training Loss: 0.009390
Epoch: 27       Training Loss: 0.008720
Epoch: 28       Training Loss: 0.008080
Epoch: 29       Training Loss: 0.007295
Epoch: 30       Training Loss: 0.006536
Epoch: 31       Training Loss: 0.006253
Epoch: 32       Training Loss: 0.005922
Epoch: 33       Training Loss: 0.005345
Epoch: 34       Training Loss: 0.006034
Epoch: 35       Training Loss: 0.005229
Epoch: 36       Training Loss: 0.004399
Epoch: 37       Training Loss: 0.005484
Epoch: 38       Training Loss: 0.007483
Epoch: 39       Training Loss: 0.008702
Epoch: 40       Training Loss: 0.007524
Epoch: 41       Training Loss: 0.005881
Epoch: 42       Training Loss: 0.005595
Epoch: 43       Training Loss: 0.005737
Epoch: 44       Training Loss: 0.004431
Epoch: 45       Training Loss: 0.004676
Epoch: 46       Training Loss: 0.005338
Epoch: 47       Training Loss: 0.002676
Epoch: 48       Training Loss: 0.002373
Epoch: 49       Training Loss: 0.001811
Epoch: 50       Training Loss: 0.001641
Epoch: 51       Training Loss: 0.001415
Epoch: 52       Training Loss: 0.001278
Epoch: 53       Training Loss: 0.001156
Epoch: 54       Training Loss: 0.001069
Epoch: 55       Training Loss: 0.000991
Epoch: 56       Training Loss: 0.000928
Epoch: 57       Training Loss: 0.000879
Epoch: 58       Training Loss: 0.000839
Epoch: 59       Training Loss: 0.000807
Epoch: 60       Training Loss: 0.000780
Epoch: 61       Training Loss: 0.000756
Epoch: 62       Training Loss: 0.000733
Epoch: 63       Training Loss: 0.000715
Epoch: 64       Training Loss: 0.000694
Epoch: 65       Training Loss: 0.000679
Epoch: 66       Training Loss: 0.000663
Epoch: 67       Training Loss: 0.000651
Epoch: 68       Training Loss: 0.000637
Epoch: 69       Training Loss: 0.000627
Epoch: 70       Training Loss: 0.000617
Epoch: 71       Training Loss: 0.000607
Epoch: 72       Training Loss: 0.000597
Epoch: 73       Training Loss: 0.000590
Epoch: 74       Training Loss: 0.000582
Epoch: 75       Training Loss: 0.000574
Epoch: 76       Training Loss: 0.000566
Epoch: 77       Training Loss: 0.000563
Epoch: 78       Training Loss: 0.000554
Epoch: 79       Training Loss: 0.000549
Epoch: 80       Training Loss: 0.000543
Epoch: 81       Training Loss: 0.000539
Epoch: 82       Training Loss: 0.000533
Epoch: 83       Training Loss: 0.000531
Epoch: 84       Training Loss: 0.000524
Epoch: 85       Training Loss: 0.000521
Epoch: 86       Training Loss: 0.000515
Epoch: 87       Training Loss: 0.000513
Epoch: 88       Training Loss: 0.000508
Epoch: 89       Training Loss: 0.000506
Epoch: 90       Training Loss: 0.000502
Epoch: 91       Training Loss: 0.000499
Epoch: 92       Training Loss: 0.000497
Epoch: 93       Training Loss: 0.000493
Epoch: 94       Training Loss: 0.000489
Epoch: 95       Training Loss: 0.000489
Epoch: 96       Training Loss: 0.000485
Epoch: 97       Training Loss: 0.000483
Epoch: 98       Training Loss: 0.000480
Epoch: 99       Training Loss: 0.000479
Epoch: 100      Training Loss: 0.000476
(base) 
